field,type,required,notes
lead_id,string,yes,Unique ID generated by automation
created_at,datetime,yes,Lead creation timestamp
source,string,yes,Website/chat/form/source campaign
name,string,yes,Visitor name
email,string,conditional,Required unless phone-only flow approved
phone,string,conditional,Required if phone follow-up is promised
company,string,no,B2B only
service_interest,string,yes,Requested service or offer
timeline,string,no,Visitor urgency
budget,string,no,Only if approved to ask
location,string,no,Service area qualification
qualification_score,number,no,0-100 or simple 1-5
fit_status,string,yes,hot/warm/cold/bad-fit/review
conversation_summary,string,yes,Short AI/human-readable summary
booking_clicked,boolean,no,Whether booking link was clicked
booking_completed,boolean,no,Manual or integrated update
owner_status,string,yes,new/contacted/booked/won/lost/nurture
next_action,string,no,Recommended next action
last_follow_up_at,datetime,no,Last automated/manual follow-up
notes,string,no,Human notes
